COD_PRODUTO;PRODUTO;CLASSIFICACAO
024869;BARBEADOR S1030/04 WALITA;ELETRO BELEZA E SAUDE BARBEADOR ELETRICO
A02918;CAMERA VMD 1120 IR G4;ALMOXARIFADO
A02919;CABO HDMI 3D 4K 10 M;ALMOXARIFADO
025008;CRIADO VALENCIA ROVERE;MOVEIS QUARTO CRIADO MUDO
025010;CRIADO VALENCIA GRIGIO LN;MOVEIS QUARTO CRIADO MUDO
025011;COZINHA COMPACTA CAROL MALBEC-ASPEN;MOVEIS COZINHA COZINHA COMPACTA
024939;CADEIRA LAELIA 3818 BRANCA;MOVEIS TERRACO CADEIRA
025014;BALCAO C/ TAMPO 1200/1190 MALBEC/ASPEN;MOVEIS COZINHA BALCAO
025015;BALCAO C/ TAMPO 1200/1190 BRANCO/LG/LN;MOVEIS COZINHA BALCAO
025016;BALCAO C/ TAMPO 1200/1190 BRANCO/ASPEN/CANELA;MOVEIS COZINHA BALCAO
025017;KIT COZINHA FLORENCA BRANCO/MALBEC;MOVEIS COZINHA KIT
025027;KIT COZINHA CANCUN 8 PORTAS BR/ASPEN/CANELA;MOVEIS COZINHA KIT
A02957;RELE DO PISCA ALERTA 12 V 500W;ALMOXARIFADO
025081;BOX RIGIDO IDEA 138X188X28;MOVEIS COLCHAO BASE BOX
024974;ROUPEIRO MODENA 6 PORTAS BRANCO;MOVEIS QUARTO GUARDA-ROUPA
A02941;CABO 10 VIAS BRANCO;ALMOXARIFADO
024976;ROUPEIRO MODENA 4 PORTAS MALBEC;MOVEIS QUARTO GUARDA-ROUPA
024980;ROUPEIRO MODENA 3 PORTAS MALBEC;MOVEIS QUARTO GUARDA-ROUPA
024981;ROUPEIRO MODENA 3 PORTAS ROVERE;MOVEIS QUARTO GUARDA-ROUPA
024982;ROUPEIRO MODENA 3 PORTAS GRIGIO LN;MOVEIS QUARTO GUARDA-ROUPA
025076;APARADOR DE PELOS CLASSIC GROOM BG-02;ELETRO BELEZA E SAUDE DEPILADOR
024967;ROUPEIRO FLORIDA 6 PORTAS BRANCO;MOVEIS QUARTO GUARDA-ROUPA
A02907;SAPATA GRD 1 3/16 NIQ;ALMOXARIFADO
025013;COZINHA COMPACTA CAROL ASPEN/CANELA;MOVEIS COZINHA COZINHA COMPACTA
025023;KIT COZINHA SOFIA BRANCO/LN/LG;MOVEIS COZINHA KIT
A02896;FORMICA OURO;ALMOXARIFADO
A02926;TRANSPALETEIRA ELETRICA ERX 27 /// PE-38 ///;ALMOXARIFADO
A02895;COLA INSTANTANEA TEK BOND 100 G;ALMOXARIFADO
A02927;BATERIA TRACIONARIA 24V 324AH;ALMOXARIFADO
A02928;CARREGADOR DE BATERIA 24V 60 A;ALMOXARIFADO
025019;KIT COZINHA FLORENCA BRANCO/ASPEN/CANELA;MOVEIS COZINHA KIT
025030;KIT COZINHA CANCUN 6 PORTAS BRANCO/ASPEN/CANE;MOVEIS COZINHA KIT
025031;COMODA MADRI MALBEC;MOVEIS QUARTO COMODA
025035;GUARDA ROUPA CASAL 7PTS LONDON NOG/AVEL TOUCH;MOVEIS QUARTO GUARDA-ROUPA
025036;GUARDA ROUPA CASAL 7PTS IGAPO EBANO TOUCH;MOVEIS QUARTO GUARDA-ROUPA
025039;GUARDA ROUPA 2PTS ESTILO II BR/ROSA/BR/FLEX;MOVEIS QUARTO GUARDA-ROUPA
025041;PENTEADEIRA LORENA BRANCO;MOVEIS QUARTO PENTEADEIRA
A02960;COMP. DE PORTA PALETE DESMONTADO (PARTE);ALMOXARIFADO
024948;POLTRONA TALISIA 3815 VERDE CITRICO;MOVEIS TERRACO POLTRONA
A02939;FUNDO P GALVANIZADO 3
024991;COMODA SAPATEIRA CANNES MALBEC;MOVEIS QUARTO COMODA
025042;CABECEIRA SOLTEIRO LONDON BRANCO/ROSA;MOVEIS QUARTO CABECEIRA
025070;PAINEL HOME TIJUCA AVELA/OFF WHITE;MOVEIS SALA DE ESTAR PAINEL PARA TV
A2898;MDF 25 MM LINO PIOMBO;ALMOXARIFADO
A02885;CATRACA AA104;ALMOXARIFADO
A02884;CATRACA AA103;ALMOXARIFADO
A02886;BUCHA DO BRACO = R71000018;ALMOXARIFADO
024875;TV LED 32 TOSHIBA L1800 HD;TECNOLOGIA TV E VIDEO TV
024905;KITS NEON REF 8861 NOGAL/ARENA/NOGAL;MOVEIS COZINHA KIT
024906;KITS 8P GOLDEN REF 8886 BR/WHITE/PETROLEO;MOVEIS COZINHA KIT
024907;KITS 6P VOGUE REF 8843 BRANCO/ARENA/EBANO;MOVEIS COZINHA KIT
024908;KITS ONIX REF 8865 NOGAL/BRANCO/NOGAL;MOVEIS COZINHA KIT
A02952;TINTA DIALINE 3
A02953;GARFO P ROLO;ALMOXARIFADO
A02954;TINTA DELANIL 18L BCO NEVE;ALMOXARIFADO
A02889;CAIXA ORGANIZADORA P CFTV;ALMOXARIFADO
024882;MULTIPROCESSADOR ALL IN ONE CITRUS BR 220V;ELETRO ELETROPORTATEIS PROCESSADOR DE ALIMENTOS
024885;BATEDEIRA PARIS VM 220V;ELETRO ELETROPORTATEIS BATEDEIRA
024886;ESPREMEDOR BELLAGIO MAXX VM 220V;ELETRO ELETROPORTATEIS ESPREMEDOR
A02913;JUGULAR DO CAPACETE;ALMOXARIFADO
